Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,19.000000,19.000000,19.000000,19.000000,19.000000,0
2015-07-01,29.900000,31.900000,27.820000,28.500000,28.500000,10512900
2015-07-02,28.090000,29.250000,26.160000,28.000000,28.000000,1199200
2015-07-06,26.110001,27.809999,26.010000,26.690001,26.690001,512800
2015-07-07,26.930000,27.850000,25.660000,27.010000,27.010000,700700
2015-07-08,26.799999,27.250000,26.000000,26.250000,26.250000,403900
2015-07-09,26.610001,27.080000,26.500000,26.660000,26.660000,334000
2015-07-10,27.100000,31.000000,26.700001,29.280001,29.280001,1234600
2015-07-13,30.059999,32.450001,29.690001,30.959999,30.959999,680800
2015-07-14,31.330000,32.500000,30.969999,31.959999,31.959999,512500
2015-07-15,32.000000,32.200001,30.440001,30.690001,30.690001,303000
2015-07-16,31.059999,31.420000,30.200001,30.950001,30.950001,368200
2015-07-17,31.209999,31.680000,30.490000,30.600000,30.600000,200000
2015-07-20,30.629999,31.000000,29.879999,29.889999,29.889999,218800
2015-07-21,29.570000,30.700001,29.570000,30.500000,30.500000,286000
2015-07-22,30.200001,31.090000,30.129999,31.090000,31.090000,404200
2015-07-23,30.799999,31.000000,30.270000,30.540001,30.540001,373900
2015-07-24,30.719999,32.240002,30.400000,32.150002,32.150002,529300
2015-07-27,32.639999,32.900002,30.500000,31.309999,31.309999,385500
2015-07-28,31.150000,31.170000,29.750000,30.830000,30.830000,251600
2015-07-29,30.600000,31.700001,30.510000,31.570000,31.570000,165900
2015-07-30,31.370001,31.700001,30.650000,30.910000,30.910000,287400
2015-07-31,31.059999,31.790001,30.910000,31.570000,31.570000,143300
2015-08-03,31.740000,34.000000,31.510000,33.200001,33.200001,458500
2015-08-04,33.150002,35.320000,33.050999,34.820000,34.820000,263700
2015-08-05,35.200001,35.419998,32.509998,33.060001,33.060001,318200
2015-08-06,33.599998,33.599998,30.080000,32.070000,32.070000,554300
2015-08-07,32.000000,32.294998,30.771999,30.830000,30.830000,209200
2015-08-10,30.850000,30.889999,30.000000,30.469999,30.469999,209600
2015-08-11,30.100000,30.600000,28.250000,28.760000,28.760000,436200
2015-08-12,28.809999,29.379999,28.170000,28.510000,28.510000,251600
2015-08-13,28.250000,31.000000,28.250000,29.790001,29.790001,688900
2015-08-14,30.100000,30.969999,27.870001,28.520000,28.520000,523900
2015-08-17,28.139999,29.500000,27.150000,29.230000,29.230000,473000
2015-08-18,29.200001,29.240000,28.090000,28.299999,28.299999,378100
2015-08-19,28.170000,28.340000,26.190001,26.850000,26.850000,772500
2015-08-20,26.400000,27.309999,24.559999,26.500000,26.500000,563900
2015-08-21,26.760000,26.760000,24.670000,25.639999,25.639999,662300
2015-08-24,23.940001,25.030001,21.811001,23.879999,23.879999,961400
2015-08-25,24.110001,25.040001,22.500000,23.200001,23.200001,1178100
2015-08-26,24.719999,25.629999,22.750000,25.280001,25.280001,1479900
2015-08-27,27.660000,28.500000,25.740000,26.129999,26.129999,1596800
2015-08-28,26.280001,27.790001,25.910000,27.719999,27.719999,662400
2015-08-31,28.049999,28.049999,25.719999,25.740000,25.740000,564000
2015-09-01,25.150000,25.299999,22.690001,22.850000,22.850000,1686700
2015-09-02,22.959999,23.020000,20.260000,22.150000,22.150000,3360800
2015-09-03,22.350000,23.400000,21.559999,22.410000,22.410000,2480200
2015-09-04,21.629999,22.240000,20.080000,20.820000,20.820000,1714200
2015-09-08,22.000000,22.000000,20.250000,20.530001,20.530001,1089100
2015-09-09,20.780001,22.910000,20.634001,22.559999,22.559999,1114800
2015-09-10,22.070000,23.385000,21.100000,22.980000,22.980000,614500
2015-09-11,23.280001,23.770000,21.600000,23.500000,23.500000,594000
2015-09-14,24.230000,24.750000,22.500000,23.070000,23.070000,665900
2015-09-15,23.559999,23.940001,22.535000,22.990000,22.990000,524100
2015-09-16,22.690001,22.920000,21.719999,22.059999,22.059999,670100
2015-09-17,22.290001,23.000000,21.770000,22.150000,22.150000,324600
2015-09-18,21.820000,22.290001,21.100000,21.959999,21.959999,912100
2015-09-21,22.299999,23.190001,22.148001,22.240000,22.240000,494900
2015-09-22,22.049999,24.500000,21.730000,24.500000,24.500000,496900
2015-09-23,23.469999,24.549999,22.290001,24.459999,24.459999,701800
2015-09-24,24.379999,24.690001,23.840000,24.330000,24.330000,310800
2015-09-25,24.209999,24.500000,21.889999,22.350000,22.350000,852200
2015-09-28,22.320000,22.389999,19.450001,20.629999,20.629999,711300
2015-09-29,21.129999,23.250000,20.549999,21.000000,21.000000,938800
2015-09-30,21.410000,22.809999,21.030001,22.290001,22.290001,3006400
2015-10-01,22.840000,23.000000,22.105000,22.809999,22.809999,914200
2015-10-02,22.090000,22.240000,17.370001,18.240000,18.240000,3063400
2015-10-05,18.639999,18.650000,15.630000,17.490000,17.490000,2134300
2015-10-06,17.490000,17.490000,16.120001,16.639999,16.639999,1389500
2015-10-07,16.770000,16.910000,15.620000,16.230000,16.230000,578100
2015-10-08,16.049999,16.850000,15.950000,16.799999,16.799999,367200
2015-10-09,16.570000,17.415001,16.480000,17.250000,17.250000,557200
2015-10-12,16.910000,18.370001,16.850000,18.030001,18.030001,468200
2015-10-13,17.590000,18.299999,17.510000,18.000000,18.000000,283700
2015-10-14,17.920000,18.549999,17.920000,18.080000,18.080000,308600
2015-10-15,17.650000,18.459999,17.650000,18.120001,18.120001,218300
